index_config,query,expected_plan_family,observed_plan_family,index_name,est_rows,actual_rows,planning_ms,execution_ms,shared_hit,shared_read,heap_fetches,index_names,index_count,total_index_size_bytes,total_index_size_pretty,total_idx_scan,total_idx_tup_read,total_idx_tup_fetch,n_live_tup,n_dead_tup,n_mod_since_analyze,table_size_bytes,table_size_pretty,snapshot_ts,status,notes
brin,Q1,Index/Bitmap,Seq Scan,,,,0.127,16.170,11,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Q2,Index/Bitmap,Seq Scan,,,,0.073,17.963,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Q3,Index/Bitmap,Seq Scan,,,,0.071,19.828,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Q4,Index/Bitmap,Seq Scan,,,,0.054,19.126,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Q5,Seq Scan or Index,Seq Scan,,,,0.082,20.528,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,acceptable,
brin,Q6,Index/Bitmap,Seq Scan,,,,0.054,17.022,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Q7,Index/Bitmap,Seq Scan,,,,0.055,18.182,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Query A,Index/Bitmap,Seq Scan,,,,0.170,616.465,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Query B,Index/Bitmap,Seq Scan,,,,0.158,619.542,984,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Query C,Index/Bitmap,Seq Scan,,,,0.214,613.152,6,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Query D,Bitmap Index Scan,Seq Scan,,,,0.413,14.330,7,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
brin,Query E,Index/Bitmap,Seq Scan,,,,0.059,15.538,1,0,0,idx_brin_lower | temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T12:09:02.945779,failure,
