index_config,query,expected_plan_family,observed_plan_family,index_name,est_rows,actual_rows,planning_ms,execution_ms,shared_hit,shared_read,heap_fetches,index_names,index_count,total_index_size_bytes,total_index_size_pretty,total_idx_scan,total_idx_tup_read,total_idx_tup_fetch,n_live_tup,n_dead_tup,n_mod_since_analyze,table_size_bytes,table_size_pretty,snapshot_ts,status,notes
brin,SELECT,SELECT,Aggregate,,,,0.376,17.955,82,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T12:10:28.343268,success,
brin,INSERT,INSERT,Insert on,,,,0.244,60.989,27,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T12:10:28.343268,success,
brin,UPDATE,UPDATE,Update on,,,,0.393,42.033,78,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T12:10:28.343268,success,
brin,DELETE,DELETE,Delete on,,,,0.473,24.980,82,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T12:10:28.343268,success,
btree,SELECT,SELECT,Aggregate,,,,0.421,18.193,89,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T12:10:26.613301,success,
btree,INSERT,INSERT,Insert on,,,,0.237,93.925,27,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T12:10:26.613301,success,
btree,UPDATE,UPDATE,Update on,idx_btree,,,0.521,44.379,102,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T12:10:26.613301,success,
btree,DELETE,DELETE,Delete on,,,,0.492,27.001,87,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T12:10:26.613301,success,
gist_attr_period,SELECT,SELECT,Aggregate,idx_gist_attr_period,,,1.219,4.966,186,0,0,idx_gist_attr_period; temporal_data_pkey,2,14983168,14 MB,0,0,0,100000,0,0,23085056,22 MB,2026-04-30T12:10:35.150665,success,
gist_attr_period,INSERT,INSERT,Insert on,,,,0.265,350.475,27,0,0,idx_gist_attr_period; temporal_data_pkey,2,14983168,14 MB,0,0,0,100000,0,0,23085056,22 MB,2026-04-30T12:10:35.150665,success,
