index_config,query,expected_plan_family,observed_plan_family,index_name,est_rows,actual_rows,planning_ms,execution_ms,shared_hit,shared_read,heap_fetches,index_names,index_count,total_index_size_bytes,total_index_size_pretty,total_idx_scan,total_idx_tup_read,total_idx_tup_fetch,n_live_tup,n_dead_tup,n_mod_since_analyze,table_size_bytes,table_size_pretty,snapshot_ts,status,notes
brin,SELECT,SELECT,Aggregate,,,,0.488,20.957,81,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T16:36:03.084315,success,
brin,INSERT,INSERT,Insert on,,,,0.261,74.981,27,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T16:36:03.084315,success,
brin,UPDATE,UPDATE,Update on,,,,0.503,51.031,77,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T16:36:03.084315,success,
brin,DELETE,DELETE,Delete on,,,,0.487,29.207,81,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-30T16:36:03.084315,success,
btree,SELECT,SELECT,Aggregate,,,,0.552,23.890,87,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T16:36:00.799034,success,
btree,INSERT,INSERT,Insert on,,,,0.339,145.100,27,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T16:36:00.799034,success,
btree,UPDATE,UPDATE,Update on,idx_btree,,,0.501,57.105,102,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T16:36:00.799034,success,
btree,DELETE,DELETE,Delete on,,,,0.577,30.727,87,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-30T16:36:00.799034,success,
gist_attr_period,SELECT,SELECT,Aggregate,idx_gist_attr_period,,,0.827,3.624,185,0,0,idx_gist_attr_period; temporal_data_pkey,2,15302656,15 MB,0,0,0,100000,0,0,23404544,22 MB,2026-04-30T16:36:12.004776,success,
gist_attr_period,INSERT,INSERT,Insert on,,,,0.231,559.070,27,0,0,idx_gist_attr_period; temporal_data_pkey,2,15302656,15 MB,0,0,0,100000,0,0,23404544,22 MB,2026-04-30T16:36:12.004776,success,
gist_attr_period,UPDATE,UPDATE,Update on,,,,0.914,247.350,162,0,0,idx_gist_attr_period; temporal_data_pkey,2,15302656,15 MB,0,0,0,100000,0,0,23404544,22 MB,2026-04-30T16:36:12.004776,success,
gist_attr_period,DELETE,DELETE,Delete on,,,,0.926,27.745,176,0,0,idx_gist_attr_period; temporal_data_pkey,2,15302656,15 MB,0,0,0,100000,0,0,23404544,22 MB,2026-04-30T16:36:12.004776,success,
gist_period,SELECT,SELECT,Aggregate,idx_gist_period,,,0.550,8.584,82,0,0,idx_gist_period; temporal_data_pkey,2,9363456,9144 kB,0,0,0,100000,0,0,17465344,17 MB,2026-04-30T16:36:06.411819,success,
gist_period,INSERT,INSERT,Insert on,,,,0.275,322.740,27,0,0,idx_gist_period; temporal_data_pkey,2,9363456,9144 kB,0,0,0,100000,0,0,17465344,17 MB,2026-04-30T16:36:06.411819,success,
gist_period,UPDATE,UPDATE,Update on,,,,0.516,100.155,79,0,0,idx_gist_period; temporal_data_pkey,2,9363456,9144 kB,0,0,0,100000,0,0,17465344,17 MB,2026-04-30T16:36:06.411819,success,
gist_period,DELETE,DELETE,Delete on,idx_gist_period,,,0.749,0.094,80,0,0,idx_gist_period; temporal_data_pkey,2,9363456,9144 kB,0,0,0,100000,0,0,17465344,17 MB,2026-04-30T16:36:06.411819,success,
hst_gist,SELECT,SELECT,Aggregate,,,,0.671,23.754,79,0,0,idx_hst_gist; temporal_data_pkey,2,6234112,6088 kB,0,0,0,100000,0,0,14336000,14 MB,2026-04-30T16:36:15.190798,success,
hst_gist,INSERT,INSERT,Insert on,,,,0.264,198.462,27,0,0,idx_hst_gist; temporal_data_pkey,2,6234112,6088 kB,0,0,0,100000,0,0,14336000,14 MB,2026-04-30T16:36:15.190798,success,
hst_gist,UPDATE,UPDATE,Update on,,,,0.512,152.535,77,0,0,idx_hst_gist; temporal_data_pkey,2,6234112,6088 kB,0,0,0,100000,0,0,14336000,14 MB,2026-04-30T16:36:15.190798,success,
hst_gist,DELETE,DELETE,Delete on,idx_hst_gist,,,0.592,0.109,80,0,0,idx_hst_gist; temporal_data_pkey,2,6234112,6088 kB,0,0,0,100000,0,0,14336000,14 MB,2026-04-30T16:36:15.190798,success,
