index_config,query,expected_plan_family,observed_plan_family,index_name,est_rows,actual_rows,planning_ms,execution_ms,shared_hit,shared_read,heap_fetches,index_names,index_count,total_index_size_bytes,total_index_size_pretty,total_idx_scan,total_idx_tup_read,total_idx_tup_fetch,n_live_tup,n_dead_tup,n_mod_since_analyze,table_size_bytes,table_size_pretty,snapshot_ts,status,notes
brin,SELECT,SELECT,Aggregate,,,,0.507,19.119,82,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10174464,9936 kB,2026-04-30T14:41:49.295120,success,
brin,INSERT,INSERT,Insert on,,,,0.354,66.362,27,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10174464,9936 kB,2026-04-30T14:41:49.295120,success,
brin,UPDATE,UPDATE,Update on,,,,0.364,60.191,78,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10174464,9936 kB,2026-04-30T14:41:49.295120,success,
brin,DELETE,DELETE,Delete on,,,,0.479,24.651,82,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10174464,9936 kB,2026-04-30T14:41:49.295120,success,
btree,SELECT,SELECT,Aggregate,,,,0.435,19.185,87,0,0,idx_btree; temporal_data_pkey,2,5251072,5128 kB,0,0,0,100000,0,0,13115392,13 MB,2026-04-30T14:41:47.382203,success,
btree,INSERT,INSERT,Insert on,,,,0.449,96.703,27,0,0,idx_btree; temporal_data_pkey,2,5251072,5128 kB,0,0,0,100000,0,0,13115392,13 MB,2026-04-30T14:41:47.382203,success,
btree,UPDATE,UPDATE,Update on,idx_btree,,,0.523,68.757,102,0,0,idx_btree; temporal_data_pkey,2,5251072,5128 kB,0,0,0,100000,0,0,13115392,13 MB,2026-04-30T14:41:47.382203,success,
btree,DELETE,DELETE,Delete on,,,,0.491,25.048,87,0,0,idx_btree; temporal_data_pkey,2,5251072,5128 kB,0,0,0,100000,0,0,13115392,13 MB,2026-04-30T14:41:47.382203,success,
gist_attr_period,SELECT,SELECT,Aggregate,idx_gist_attr_period,,,1.009,6.322,185,0,0,idx_gist_attr_period; temporal_data_pkey,2,14647296,14 MB,0,0,0,100000,0,0,22511616,21 MB,2026-04-30T14:41:56.186658,success,
gist_attr_period,INSERT,INSERT,Insert on,,,,0.309,353.458,27,0,0,idx_gist_attr_period; temporal_data_pkey,2,14647296,14 MB,0,0,0,100000,0,0,22511616,21 MB,2026-04-30T14:41:56.186658,success,
gist_attr_period,UPDATE,UPDATE,Update on,,,,0.737,261.617,164,0,0,idx_gist_attr_period; temporal_data_pkey,2,14647296,14 MB,0,0,0,100000,0,0,22511616,21 MB,2026-04-30T14:41:56.186658,success,
gist_attr_period,DELETE,DELETE,Delete on,,,,0.616,24.442,176,0,0,idx_gist_attr_period; temporal_data_pkey,2,14647296,14 MB,0,0,0,100000,0,0,22511616,21 MB,2026-04-30T14:41:56.186658,success,
gist_period,SELECT,SELECT,Aggregate,idx_gist_period,,,0.474,2.608,81,0,0,idx_gist_period; temporal_data_pkey,2,8339456,8144 kB,0,0,0,100000,0,0,16203776,15 MB,2026-04-30T14:41:51.622719,success,
gist_period,INSERT,INSERT,Insert on,,,,0.302,283.464,27,0,0,idx_gist_period; temporal_data_pkey,2,8339456,8144 kB,0,0,0,100000,0,0,16203776,15 MB,2026-04-30T14:41:51.622719,success,
gist_period,UPDATE,UPDATE,Update on,,,,0.315,173.724,80,0,0,idx_gist_period; temporal_data_pkey,2,8339456,8144 kB,0,0,0,100000,0,0,16203776,15 MB,2026-04-30T14:41:51.622719,success,
gist_period,DELETE,DELETE,Delete on,idx_gist_period,,,0.415,0.065,81,0,0,idx_gist_period; temporal_data_pkey,2,8339456,8144 kB,0,0,0,100000,0,0,16203776,15 MB,2026-04-30T14:41:51.622719,success,
hst_gist,SELECT,SELECT,Aggregate,,,,0.506,20.040,81,0,0,idx_hst_gist; temporal_data_pkey,2,3424256,3344 kB,0,0,0,100000,0,0,11288576,11 MB,2026-04-30T14:41:58.670931,success,
hst_gist,INSERT,INSERT,Insert on,,,,0.332,277.237,27,0,0,idx_hst_gist; temporal_data_pkey,2,3424256,3344 kB,0,0,0,100000,0,0,11288576,11 MB,2026-04-30T14:41:58.670931,success,
hst_gist,UPDATE,UPDATE,Update on,,,,0.284,164.935,77,0,0,idx_hst_gist; temporal_data_pkey,2,3424256,3344 kB,0,0,0,100000,0,0,11288576,11 MB,2026-04-30T14:41:58.670931,success,
hst_gist,DELETE,DELETE,Delete on,idx_hst_gist,,,0.487,0.089,80,0,0,idx_hst_gist; temporal_data_pkey,2,3424256,3344 kB,0,0,0,100000,0,0,11288576,11 MB,2026-04-30T14:41:58.670931,success,
hybrid_current_history,SELECT,SELECT,Aggregate,,,,0.562,19.050,107,0,0,idx_current_attr_start; idx_hst_gist; temporal_data_pkey,3,5849088,5712 kB,0,0,0,100000,0,0,13713408,13 MB,2026-04-30T14:42:01.019510,success,
hybrid_current_history,INSERT,INSERT,Insert on,,,,0.234,244.952,27,0,0,idx_current_attr_start; idx_hst_gist; temporal_data_pkey,3,5849088,5712 kB,0,0,0,100000,0,0,13713408,13 MB,2026-04-30T14:42:01.019510,success,
hybrid_current_history,UPDATE,UPDATE,Update on,idx_current_attr_start,,,0.482,161.548,116,0,0,idx_current_attr_start; idx_hst_gist; temporal_data_pkey,3,5849088,5712 kB,0,0,0,100000,0,0,13713408,13 MB,2026-04-30T14:42:01.019510,success,
hybrid_current_history,DELETE,DELETE,Delete on,idx_hst_gist,,,0.515,0.068,108,0,0,idx_current_attr_start; idx_hst_gist; temporal_data_pkey,3,5849088,5712 kB,0,0,0,100000,0,0,13713408,13 MB,2026-04-30T14:42:01.019510,success,
no_index,SELECT,SELECT,Aggregate,,,,0.315,18.006,59,0,0,temporal_data_pkey,1,2260992,2208 kB,0,0,0,100000,0,0,10125312,9888 kB,2026-04-30T14:41:45.452677,failure,
no_index,INSERT,INSERT,Insert on,,,,0.233,64.707,25,2,0,temporal_data_pkey,1,2260992,2208 kB,0,0,0,100000,0,0,10125312,9888 kB,2026-04-30T14:41:45.452677,success,
no_index,UPDATE,UPDATE,Update on,,,,0.372,59.209,60,0,0,temporal_data_pkey,1,2260992,2208 kB,0,0,0,100000,0,0,10125312,9888 kB,2026-04-30T14:41:45.452677,success,
no_index,DELETE,DELETE,Delete on,,,,0.351,26.674,59,0,0,temporal_data_pkey,1,2260992,2208 kB,0,0,0,100000,0,0,10125312,9888 kB,2026-04-30T14:41:45.452677,success,
temporal_rtree,SELECT,SELECT,Aggregate,idx_rtree_temporalbox,,,1.153,7.050,185,0,0,idx_rtree_temporalbox; temporal_data_pkey,2,26451968,25 MB,0,0,0,100000,0,0,34316288,33 MB,2026-04-30T14:42:06.817045,success,
temporal_rtree,INSERT,INSERT,Insert on,,,,0.377,641.181,27,0,0,idx_rtree_temporalbox; temporal_data_pkey,2,26451968,25 MB,0,0,0,100000,0,0,34316288,33 MB,2026-04-30T14:42:06.817045,success,
temporal_rtree,UPDATE,UPDATE,Update on,,,,0.965,470.869,166,0,0,idx_rtree_temporalbox; temporal_data_pkey,2,26451968,25 MB,0,0,0,100000,0,0,34316288,33 MB,2026-04-30T14:42:06.817045,success,
temporal_rtree,DELETE,DELETE,Delete on,,,,0.992,24.115,176,0,0,idx_rtree_temporalbox; temporal_data_pkey,2,26451968,25 MB,0,0,0,100000,0,0,34316288,33 MB,2026-04-30T14:42:06.817045,success,
