index_config,query,expected_plan_family,observed_plan_family,index_name,est_rows,actual_rows,planning_ms,execution_ms,shared_hit,shared_read,heap_fetches,index_names,index_count,total_index_size_bytes,total_index_size_pretty,total_idx_scan,total_idx_tup_read,total_idx_tup_fetch,n_live_tup,n_dead_tup,n_mod_since_analyze,table_size_bytes,table_size_pretty,snapshot_ts,status,notes
brin,SELECT,SELECT,Seq Scan,,,,0.531,73.888,84,2,0,idx_brin; temporal_data_pkey,2,22511616,21 MB,0,0,0,1000000,0,0,110518272,105 MB,2026-04-30T11:51:52.566319,failure,
brin,INSERT,INSERT,Insert on,,,,0.250,56.757,27,0,0,idx_brin; temporal_data_pkey,2,22511616,21 MB,0,0,0,1000000,0,0,110518272,105 MB,2026-04-30T11:51:52.566319,success,
brin,UPDATE,UPDATE,Update on,,,,0.292,479.827,79,0,0,idx_brin; temporal_data_pkey,2,22511616,21 MB,0,0,0,1000000,0,0,110518272,105 MB,2026-04-30T11:51:52.566319,success,
brin,DELETE,DELETE,Delete on,,,,0.490,213.957,81,0,0,idx_brin; temporal_data_pkey,2,22511616,21 MB,0,0,0,1000000,0,0,110518272,105 MB,2026-04-30T11:51:52.566319,success,
btree,SELECT,SELECT,Seq Scan,,,,0.546,70.529,92,0,0,idx_btree; temporal_data_pkey,2,40689664,39 MB,0,0,0,1000000,0,0,128671744,123 MB,2026-04-30T11:51:39.575969,failure,
btree,INSERT,INSERT,Insert on,,,,0.222,82.037,27,0,0,idx_btree; temporal_data_pkey,2,40689664,39 MB,0,0,0,1000000,0,0,128671744,123 MB,2026-04-30T11:51:39.575969,success,
btree,UPDATE,UPDATE,Update on,idx_btree,,,0.507,424.248,104,0,0,idx_btree; temporal_data_pkey,2,40689664,39 MB,0,0,0,1000000,0,0,128671744,123 MB,2026-04-30T11:51:39.575969,success,
btree,DELETE,DELETE,Delete on,,,,0.492,236.080,87,0,0,idx_btree; temporal_data_pkey,2,40689664,39 MB,0,0,0,1000000,0,0,128671744,123 MB,2026-04-30T11:51:39.575969,success,
gist_attr_period,SELECT,SELECT,Aggregate,idx_gist_attr_period,,,0.897,40.860,170,15,0,idx_gist_attr_period; temporal_data_pkey,2,150659072,144 MB,0,0,0,1000000,0,0,238641152,228 MB,2026-04-30T11:52:55.501131,success,
gist_attr_period,INSERT,INSERT,Insert on,,,,0.268,344.832,25,2,0,idx_gist_attr_period; temporal_data_pkey,2,150659072,144 MB,0,0,0,1000000,0,0,238641152,228 MB,2026-04-30T11:52:55.501131,success,
gist_attr_period,UPDATE,UPDATE,Update on,,,,0.581,1836.425,162,0,0,idx_gist_attr_period; temporal_data_pkey,2,150659072,144 MB,0,0,0,1000000,0,0,238641152,228 MB,2026-04-30T11:52:55.501131,success,
gist_attr_period,DELETE,DELETE,Delete on,,,,0.750,223.425,176,0,0,idx_gist_attr_period; temporal_data_pkey,2,150659072,144 MB,0,0,0,1000000,0,0,238641152,228 MB,2026-04-30T11:52:55.501131,success,
