index_config,query,expected_plan_family,observed_plan_family,index_name,est_rows,actual_rows,planning_ms,execution_ms,shared_hit,shared_read,heap_fetches,index_names,index_count,total_index_size_bytes,total_index_size_pretty,total_idx_scan,total_idx_tup_read,total_idx_tup_fetch,n_live_tup,n_dead_tup,n_mod_since_analyze,table_size_bytes,table_size_pretty,snapshot_ts,status,notes
brin,SELECT,SELECT,Aggregate,,,,0.452,18.758,81,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T23:19:09.881460,success,
brin,INSERT,INSERT,Insert on,,,,0.187,73.417,27,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T23:19:09.881460,success,
brin,UPDATE,UPDATE,Update on,,,,0.348,44.067,77,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T23:19:09.881460,success,
brin,DELETE,DELETE,Delete on,,,,0.533,25.639,81,0,0,idx_brin; temporal_data_pkey,2,2285568,2232 kB,0,0,0,100000,0,0,10412032,10168 kB,2026-04-29T23:19:09.881460,success,
btree,SELECT,SELECT,Aggregate,,,,0.589,21.115,89,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-29T23:19:07.970001,success,
btree,INSERT,INSERT,Insert on,,,,0.303,106.551,27,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-29T23:19:07.970001,success,
btree,UPDATE,UPDATE,Update on,idx_btree,,,0.441,45.106,102,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-29T23:19:07.970001,success,
btree,DELETE,DELETE,Delete on,,,,0.510,27.417,87,0,0,idx_btree; temporal_data_pkey,2,5259264,5136 kB,0,0,0,100000,0,0,13361152,13 MB,2026-04-29T23:19:07.970001,success,
gist_attr_period,SELECT,SELECT,Aggregate,idx_gist_attr_period,,,1.336,5.664,187,0,0,idx_gist_attr_period; temporal_data_pkey,2,15253504,15 MB,0,0,0,100000,0,0,23355392,22 MB,2026-04-29T23:19:17.937379,success,
gist_attr_period,INSERT,INSERT,Insert on,,,,0.386,443.349,27,0,0,idx_gist_attr_period; temporal_data_pkey,2,15253504,15 MB,0,0,0,100000,0,0,23355392,22 MB,2026-04-29T23:19:17.937379,success,
gist_attr_period,UPDATE,UPDATE,Update on,,,,1.245,186.093,164,0,0,idx_gist_attr_period; temporal_data_pkey,2,15253504,15 MB,0,0,0,100000,0,0,23355392,22 MB,2026-04-29T23:19:17.937379,success,
gist_attr_period,DELETE,DELETE,Delete on,,,,0.882,25.632,178,0,0,idx_gist_attr_period; temporal_data_pkey,2,15253504,15 MB,0,0,0,100000,0,0,23355392,22 MB,2026-04-29T23:19:17.937379,success,
gist_period,SELECT,SELECT,Aggregate,idx_gist_period,,,0.689,2.442,82,0,0,idx_gist_period; temporal_data_pkey,2,9281536,9064 kB,0,0,0,100000,0,0,17383424,17 MB,2026-04-29T23:19:12.537667,success,
gist_period,INSERT,INSERT,Insert on,,,,0.315,229.530,27,0,0,idx_gist_period; temporal_data_pkey,2,9281536,9064 kB,0,0,0,100000,0,0,17383424,17 MB,2026-04-29T23:19:12.537667,success,
gist_period,UPDATE,UPDATE,Update on,,,,0.484,137.163,77,0,0,idx_gist_period; temporal_data_pkey,2,9281536,9064 kB,0,0,0,100000,0,0,17383424,17 MB,2026-04-29T23:19:12.537667,success,
gist_period,DELETE,DELETE,Delete on,idx_gist_period,,,0.453,0.080,80,0,0,idx_gist_period; temporal_data_pkey,2,9281536,9064 kB,0,0,0,100000,0,0,17383424,17 MB,2026-04-29T23:19:12.537667,success,
hst_gist,SELECT,SELECT,Aggregate,,,,0.592,22.258,82,0,0,idx_hst_gist; temporal_data_pkey,2,6266880,6120 kB,0,0,0,100000,0,0,14368768,14 MB,2026-04-29T23:19:21.022446,success,
hst_gist,INSERT,INSERT,Insert on,,,,0.264,156.166,27,0,0,idx_hst_gist; temporal_data_pkey,2,6266880,6120 kB,0,0,0,100000,0,0,14368768,14 MB,2026-04-29T23:19:21.022446,success,
hst_gist,UPDATE,UPDATE,Update on,,,,0.442,153.228,78,0,0,idx_hst_gist; temporal_data_pkey,2,6266880,6120 kB,0,0,0,100000,0,0,14368768,14 MB,2026-04-29T23:19:21.022446,success,
